priorita,scheda,nome,categoria,prezzo (da compilare)
1 - Farmaci da banco,Prodotti,Aspirina,Dolore e febbre,
1 - Farmaci da banco,Prodotti,Moment,Dolore e infiammazione,
1 - Farmaci da banco,Prodotti,Moment Act,Dolore e infiammazione,
1 - Farmaci da banco,Prodotti,Tachipirina,Dolore e febbre,
1 - Farmaci da banco,Prodotti,Gaviscon,Reflusso e bruciore,
1 - Farmaci da banco,Prodotti,Maalox,Acidità di stomaco,
1 - Farmaci da banco,Prodotti,Buscopan,Dolori addominali,
1 - Farmaci da banco,Prodotti,Imodium,Intestino,
1 - Farmaci da banco,Prodotti,Enterogermina,Intestino,
1 - Farmaci da banco,Prodotti,Rinazina,Naso,
1 - Farmaci da banco,Prodotti,Fluimucil,Tosse e catarro,
1 - Farmaci da banco,Prodotti,Aerius,Allergie,
1 - Farmaci da banco,Prodotti,Tachipirina Adulti,Dolore/febbre - Paracetamolo - 10 supposte 1000mg,
1 - Farmaci da banco,Prodotti,Tachipirina Bambini,Dolore/febbre - Paracetamolo - 10 supposte 250mg,
1 - Farmaci da banco,Prodotti,Aspirina C,Dolore/febbre - Acido acetilsalicilico + Vit. C - 20 compresse effervescenti,
1 - Farmaci da banco,Prodotti,Vivin C,Dolore/febbre - Acido acetilsalicilico + Vit. C - 20 compresse effervescenti,
1 - Farmaci da banco,Prodotti,Oki,Dolore/febbre - Ketoprofene - 30 bustine 80mg,
1 - Farmaci da banco,Prodotti,Brufen,Dolore/febbre - Ibuprofene - 30 compresse 600mg,
1 - Farmaci da banco,Prodotti,Proctolyn Crema,Emorroidi - Fluocinolone + chetocaina - crema rettale 30g,
1 - Farmaci da banco,Prodotti,Proctolyn Supposte,Emorroidi - Fluocinolone + chetocaina - 10 supposte,
1 - Farmaci da banco,Prodotti,Preparazione H Unguento,Emorroidi - Fenilefrina + olio fegato di squalo - unguento 25g,
1 - Farmaci da banco,Prodotti,Preparazione H Supposte,Emorroidi - Fenilefrina + olio fegato di squalo - 12 supposte,
1 - Farmaci da banco,Prodotti,Emorril Crema,Emorroidi - Idrocortisone + lidocaina - crema rettale 40g,
1 - Farmaci da banco,Prodotti,Venoruton,Emorroidi/circolazione - Oxerutina - 30 bustine 1000mg,
1 - Farmaci da banco,Prodotti,Tachifludec,Raffreddore/influenza - Paracetamolo + fenilefrina + clorfenamina - 10 bustine,
1 - Farmaci da banco,Prodotti,Vicks VapoRub,Raffreddore/influenza - Canfora/mentolo/eucaliptolo - unguento 50g,
1 - Farmaci da banco,Prodotti,Bronchenolo Sedativo Fluidificante,Raffreddore/influenza - Destrometorfano + guaifenesina - sciroppo 150ml,
1 - Farmaci da banco,Prodotti,Buscopan Compositum,Digestivo - Ioscina butilbromuro + paracetamolo - 20 compresse,
1 - Farmaci da banco,Prodotti,Citrosodina,Digestivo - Acido citrico + sodio bicarbonato - granulato 150g,
1 - Farmaci da banco,Prodotti,Zirtec,Allergia - Cetirizina - 7 compresse 10mg,
1 - Farmaci da banco,Prodotti,Clarityn,Allergia - Loratadina - 7 compresse 10mg,
1 - Farmaci da banco,Prodotti,Voltaren Emulgel,Dolore muscolare/articolare - Diclofenac dietilammonio - gel 60g,
1 - Farmaci da banco,Prodotti,Voltadvance,Dolore muscolare/articolare - Diclofenac potassico - 20 compresse 25mg,
1 - Farmaci da banco,Prodotti,Fastum Gel,Dolore muscolare/articolare - Ketoprofene - gel 50g,
1 - Farmaci da banco,Prodotti,Eucerin AtopiControl Crema,Cura pelle secca/atopica - Omega-6/ceramidi - crema 100ml,
1 - Farmaci da banco,Prodotti,Tantum Verde Pastiglie,Mal di gola - Benzidamina - 20 pastiglie 3mg,
1 - Farmaci da banco,Prodotti,Tantum Verde Gola Spray,Mal di gola - Flurbiprofene - spray orofaringeo 15ml,
1 - Farmaci da banco,Prodotti,Neo Borocillina Gola Dolore,Mal di gola - Cetilpiridinio/benzocaina - 16 pastiglie,
2 - Galenici,Galenici,Weight Control Plus,Peso e metabolismo,
2 - Galenici,Galenici,Zero Fame Plus,Peso e metabolismo,
2 - Galenici,Galenici,Garcinia Cambogia,Peso e metabolismo,
2 - Galenici,Galenici,Metabolaid,Peso e metabolismo,
2 - Galenici,Galenici,Spirulina Alga,Peso e metabolismo,
2 - Galenici,Galenici,Penso Positivo,Mente e sonno,
2 - Galenici,Galenici,Ansia Stop 60 ml,Mente e sonno,
2 - Galenici,Galenici,Ansia Stop 30 cps,Mente e sonno,
2 - Galenici,Galenici,Melatonina,Mente e sonno,
2 - Galenici,Galenici,Prelavaggio Plus,Cura dei capelli,
2 - Galenici,Galenici,Minoxidil,Cura dei capelli,
2 - Galenici,Galenici,Ariluprost,Vie urinarie,
